"","metal","site","conc_mean","conc_sd","lower_ci","upper_ci"
"1","Cr53","A",23.1361739451368,7.43700997318482,15.8480380950831,30.4243097951905
"2","Cr53","B",16.2062853792619,5.18222801051228,11.6639457176406,20.7486250408833
"3","Cr53","C",26.7079799449892,13.3048982330717,15.0459367436243,38.3700231463541
"4","Cr53","D",9.87322594963439,4.11646553342729,5.2150922771918,14.531359622077
"5","Cr53","E",13.3870229227949,7.15425944978393,3.47190739094954,23.3021384546403
"6","Cr53","F",6.96959172318709,5.1520026630795,1.13965900772388,12.7995244386503
