"","metal","site","conc_mean","conc_sd","lower","upper","mass_frac"
"1","Cr52","A",23733.7289768306,7605.0518893204,16280.9150750175,31186.5428786437,23.7337289768306
"2","Cr52","B",16912.8812752483,5061.06283420148,12476.7456217963,21349.0169287003,16.9128812752483
"3","Cr52","C",34009.374979826,16942.3039164151,19159.0637077893,48859.6862518627,34.009374979826
"4","Cr52","D",12967.8935219192,4465.85474970576,7914.39599669581,18021.3910471425,12.9678935219192
"5","Cr52","E",19491.8335087836,8835.60743845372,7246.53136937814,31737.1356481891,19.4918335087836
"6","Cr52","F",11555.3992864963,7996.30207361064,2506.89793463477,20603.9006383578,11.5553992864963
